CLIENT_ID,AGE,INCOME,REGION,PRODUCT_TYPE,CREDIT_SCORE,PREDICTED_REVENUE,RISK_CATEGORY,SCENARIO_FACTOR,NOTE
C36,41,87099,Prague,Mortgage,623,9984,Medium Risk,0.9,
C37,50,51978,Brno,Personal Loan,793,2632,Low Risk,1.1,
C38,46,54905,Ostrava,Credit Card,539,5806,High Risk,1,
C39,70,96350,Pilsen,Mortgage,592,8155,High Risk,1,
C40,22,32316,Prague,Personal Loan,801,2090,Low Risk,0.9,
C41,46,60326,Brno,Credit Card,598,8668,High Risk,0.9,
C42,61,97268,Ostrava,Mortgage,839,7824,Low Risk,0.9,
C43,55,100172,Pilsen,Personal Loan,512,6626,High Risk,1,
C44,68,99743,Prague,Credit Card,650,2044,Medium Risk,0.9,
C45,52,108717,Brno,Mortgage,520,9497,High Risk,1.1,
C46,45,70715,Ostrava,Personal Loan,573,1915,High Risk,1,
C47,44,55750,Pilsen,Credit Card,682,9826,Medium Risk,1,
C48,59,96559,Prague,Mortgage,549,1067,High Risk,0.9,
C49,58,119839,Brno,Personal Loan,557,2663,High Risk,1.1,
C50,56,104771,Ostrava,Credit Card,632,8935,Medium Risk,1.1,
C51,23,44171,Pilsen,Mortgage,757,9306,Low Risk,1,
C52,68,105795,Prague,Personal Loan,677,6906,Medium Risk,0.9,
C53,59,102021,Brno,Credit Card,506,9047,High Risk,1,
C54,23,41566,Ostrava,Mortgage,797,7191,Low Risk,1.1,
C55,61,89645,Pilsen,Personal Loan,809,3237,Low Risk,1,
C56,55,112747,Prague,Credit Card,589,1964,High Risk,1,
C57,27,38565,Brno,Mortgage,643,9074,Medium Risk,0.9,
C58,57,115151,Ostrava,Personal Loan,744,4481,Medium Risk,1.1,
C59,51,79400,Pilsen,Credit Card,649,9678,Medium Risk,0.9,
C60,40,82751,Prague,Mortgage,532,2879,High Risk,0.9,
C61,22,46203,Brno,Personal Loan,822,1781,Low Risk,1.1,
C62,21,36329,Ostrava,Credit Card,763,8952,Low Risk,1.1,
C63,24,45636,Pilsen,Mortgage,579,3858,High Risk,1,
C64,52,77203,Prague,Personal Loan,595,8225,High Risk,0.9,
C65,59,104422,Brno,Credit Card,701,9426,Medium Risk,1,
C66,20,43521,Ostrava,Mortgage,525,3538,High Risk,1.1,
C67,34,50159,Pilsen,Personal Loan,575,9121,High Risk,1,
C68,54,114160,Prague,Credit Card,692,8534,Medium Risk,0.9,
C69,66,110996,Brno,Mortgage,799,3825,Low Risk,0.9,
C70,37,88601,Ostrava,Personal Loan,722,9850,Medium Risk,1.1,
C71,68,91026,Pilsen,Credit Card,615,1616,Medium Risk,1.1,
C72,47,67686,Prague,Mortgage,846,8047,Low Risk,0.9,
C73,40,52350,Brno,Personal Loan,557,1723,High Risk,0.9,
C74,40,80171,Ostrava,Credit Card,791,5353,Low Risk,1.1,
C75,45,85081,Pilsen,Mortgage,836,7672,Low Risk,1.1,
C76,33,54273,Prague,Personal Loan,505,2166,High Risk,1,
C77,66,105542,Brno,Credit Card,649,8296,Medium Risk,1,
C78,62,80905,Ostrava,Mortgage,809,2147,Low Risk,1,
C79,27,37311,Pilsen,Personal Loan,712,1114,Medium Risk,0.9,
C80,20,32192,Prague,Credit Card,718,5492,Medium Risk,0.9,
C81,29,47469,Brno,Mortgage,636,1771,Medium Risk,1.1,
C82,56,113585,Ostrava,Personal Loan,791,9357,Low Risk,0.9,
C83,42,71775,Pilsen,Credit Card,671,4394,Medium Risk,0.9,
C84,67,98838,Prague,Mortgage,549,7941,High Risk,1,
C85,22,31380,Brno,Personal Loan,759,6229,Low Risk,1.1,
C86,42,52983,Ostrava,Credit Card,731,6293,Medium Risk,0.9,
C87,32,54205,Pilsen,Mortgage,578,9054,High Risk,1,
C88,27,36286,Prague,Personal Loan,505,2623,High Risk,0.9,
C89,38,57889,Brno,Credit Card,555,2998,High Risk,1,
C90,45,80265,Ostrava,Mortgage,806,8274,Low Risk,1,
C91,65,116644,Pilsen,Personal Loan,678,1277,Medium Risk,0.9,
C92,20,34643,Prague,Credit Card,850,1371,Low Risk,0.9,
C93,60,85094,Brno,Mortgage,533,2706,High Risk,0.9,
C94,56,93712,Ostrava,Personal Loan,550,2445,High Risk,0.9,
C95,51,118242,Pilsen,Credit Card,678,7707,Medium Risk,1,
C96,33,79216,Prague,Mortgage,819,9016,Low Risk,1,
C97,26,42954,Brno,Personal Loan,793,1780,Low Risk,1,
C98,20,38486,Ostrava,Credit Card,709,8531,Medium Risk,1,
C99,40,62989,Pilsen,Mortgage,688,6895,Medium Risk,1.1,
C100,61,99069,Prague,Personal Loan,795,2468,Low Risk,1,
C101,43,57036,Brno,Credit Card,778,6046,Low Risk,1,
C102,25,30846,Ostrava,Mortgage,804,1749,Low Risk,1.1,
C103,23,42092,Pilsen,Personal Loan,669,5361,Medium Risk,1.1,
C104,62,89308,Prague,Credit Card,536,5443,High Risk,1,
C105,35,52560,Brno,Mortgage,545,9879,High Risk,0.9,
C106,61,90932,Ostrava,Personal Loan,542,7602,High Risk,1.1,
C107,43,65611,Pilsen,Credit Card,574,6760,High Risk,1,
C108,34,81013,Prague,Mortgage,690,4236,Medium Risk,1.1,
C109,22,35260,Brno,Personal Loan,790,5229,Low Risk,1,
C110,36,71470,Ostrava,Credit Card,798,9820,Low Risk,1.1,
C111,61,102528,Pilsen,Mortgage,646,4776,Medium Risk,1.1,
C112,64,98842,Prague,Personal Loan,790,5801,Low Risk,0.9,
C113,47,56575,Brno,Credit Card,740,2876,Medium Risk,0.9,
C114,32,58397,Ostrava,Mortgage,528,3453,High Risk,0.9,
C115,63,82312,Pilsen,Personal Loan,655,9500,Medium Risk,0.9,
C116,52,79596,Prague,Credit Card,719,2388,Medium Risk,1,
C117,22,46897,Brno,Mortgage,613,9678,Medium Risk,0.9,
C118,61,91375,Ostrava,Personal Loan,731,2964,Medium Risk,0.9,
C119,55,98406,Pilsen,Credit Card,833,4185,Low Risk,0.9,
C120,46,54882,Prague,Mortgage,617,8541,Medium Risk,0.9,
C121,28,45269,Brno,Personal Loan,554,2712,High Risk,0.9,
C122,58,100741,Ostrava,Credit Card,793,8044,Low Risk,1.1,
C123,66,85804,Pilsen,Mortgage,797,9102,Low Risk,1,
C124,38,62094,Prague,Personal Loan,559,3800,High Risk,1,
C125,21,41823,Brno,Credit Card,850,9552,Low Risk,0.9,
C126,54,116448,Ostrava,Mortgage,625,2129,Medium Risk,0.9,
C127,38,52237,Pilsen,Personal Loan,558,6970,High Risk,0.9,
C128,29,30978,Prague,Credit Card,797,6994,Low Risk,1,
C129,30,53156,Brno,Mortgage,718,5444,Medium Risk,0.9,
C130,45,75001,Ostrava,Personal Loan,505,4478,High Risk,0.9,
C131,47,79641,Pilsen,Credit Card,795,1445,Low Risk,1.1,
C132,68,80665,Prague,Mortgage,689,5317,Medium Risk,1,
C133,41,57584,Brno,Personal Loan,723,6930,Medium Risk,1.1,
C134,58,118366,Ostrava,Credit Card,670,5451,Medium Risk,0.9,
C135,20,38472,Pilsen,Mortgage,710,4571,Medium Risk,0.9,
C136,62,108298,Prague,Personal Loan,676,1418,Medium Risk,1.1,
C137,57,110839,Brno,Credit Card,502,5225,High Risk,1.1,
C138,22,43040,Ostrava,Mortgage,526,1331,High Risk,1,
C139,49,52781,Pilsen,Personal Loan,563,3960,High Risk,0.9,
C140,57,91667,Prague,Credit Card,554,2407,High Risk,1.1,
C141,59,106303,Brno,Mortgage,531,5427,High Risk,1.1,
C142,30,88820,Ostrava,Personal Loan,696,3874,Medium Risk,1,
C143,60,98571,Pilsen,Credit Card,640,6263,Medium Risk,0.9,
C144,49,52463,Prague,Mortgage,664,4826,Medium Risk,1,
C145,46,61623,Brno,Personal Loan,686,1263,Medium Risk,1.1,
C146,39,50306,Ostrava,Credit Card,589,6839,High Risk,1.1,
C147,42,50215,Pilsen,Mortgage,699,3005,Medium Risk,1,
C148,28,31374,Prague,Personal Loan,845,9728,Low Risk,1.1,
C149,37,77922,Brno,Credit Card,840,3170,Low Risk,1.1,
C150,58,79658,Ostrava,Mortgage,671,6838,Medium Risk,1.1,
C151,49,53510,Pilsen,Personal Loan,808,5973,Low Risk,1.1,
C152,59,95524,Prague,Credit Card,589,1594,High Risk,1.1,
C153,53,119767,Brno,Mortgage,586,1160,High Risk,0.9,
C154,42,55315,Ostrava,Personal Loan,660,9957,Medium Risk,1,
C155,44,57211,Pilsen,Credit Card,831,3545,Low Risk,1,
C156,24,46039,Prague,Mortgage,675,4286,Medium Risk,1,
C157,28,44382,Brno,Personal Loan,614,1932,Medium Risk,1,
C158,65,87407,Ostrava,Credit Card,726,6571,Medium Risk,0.9,
C159,58,112181,Pilsen,Mortgage,842,8754,Low Risk,1,
C160,24,41987,Prague,Personal Loan,660,5114,Medium Risk,0.9,
C161,60,96224,Brno,Credit Card,688,5607,Medium Risk,1,
C162,24,45228,Ostrava,Mortgage,823,2942,Low Risk,0.9,
C163,44,61710,Pilsen,Personal Loan,584,9169,High Risk,1,
C164,40,68942,Prague,Credit Card,732,3577,Medium Risk,1,
C165,52,109858,Brno,Mortgage,556,4165,High Risk,0.9,
C166,62,93209,Ostrava,Personal Loan,641,6443,Medium Risk,1.1,
C167,33,65192,Pilsen,Credit Card,765,3829,Low Risk,1.1,
C168,46,72341,Prague,Mortgage,849,1924,Low Risk,0.9,
C169,51,97110,Brno,Personal Loan,608,5137,Medium Risk,1.1,
C170,29,34814,Ostrava,Credit Card,654,8403,Medium Risk,1.1,
C171,43,57549,Pilsen,Mortgage,560,3168,High Risk,1.1,
C172,21,36162,Prague,Personal Loan,583,1275,High Risk,1,
C173,25,38895,Brno,Credit Card,840,1076,Low Risk,0.9,
C174,43,58734,Ostrava,Mortgage,587,6889,High Risk,1.1,
C175,27,42775,Pilsen,Personal Loan,609,6448,Medium Risk,1,
C176,22,38238,Prague,Credit Card,779,5115,Low Risk,1.1,
C177,48,80206,Brno,Mortgage,722,1240,Medium Risk,1,
C178,25,32435,Ostrava,Personal Loan,582,6524,High Risk,1.1,
C179,24,30880,Pilsen,Credit Card,644,2682,Medium Risk,0.9,
C180,66,87001,Prague,Mortgage,772,4480,Low Risk,1.1,
C181,33,50866,Brno,Personal Loan,791,9317,Low Risk,0.9,
C182,32,68456,Ostrava,Credit Card,733,8692,Medium Risk,0.9,
C183,23,42457,Pilsen,Mortgage,824,2235,Low Risk,1.1,
C184,32,53568,Prague,Personal Loan,716,4927,Medium Risk,1,
C185,49,89763,Brno,Credit Card,609,3880,Medium Risk,1.1,
C186,53,91702,Ostrava,Mortgage,575,1403,High Risk,1,
C187,61,111256,Pilsen,Personal Loan,724,7554,Medium Risk,1.1,
C188,59,101402,Prague,Credit Card,570,4550,High Risk,1,
C189,35,77093,Brno,Mortgage,757,6585,Low Risk,1.1,
C190,67,109447,Ostrava,Personal Loan,761,9889,Low Risk,0.9,
C191,54,93501,Pilsen,Credit Card,830,9097,Low Risk,1,
C192,69,108337,Prague,Mortgage,794,1547,Low Risk,1.1,
C193,52,91724,Brno,Personal Loan,768,7610,Low Risk,0.9,
C194,52,91446,Ostrava,Credit Card,732,4795,Medium Risk,0.9,
C195,58,118872,Pilsen,Mortgage,779,4156,Low Risk,0.9,
C196,53,88658,Prague,Personal Loan,737,5697,Medium Risk,0.9,
C197,65,115796,Brno,Credit Card,708,8916,Medium Risk,0.9,
C198,56,97796,Ostrava,Mortgage,784,3875,Low Risk,0.9,
C199,50,87383,Pilsen,Personal Loan,621,3656,Medium Risk,1.1,
C200,20,36088,Prague,Credit Card,679,9252,Medium Risk,0.9,
C201,28,40202,Brno,Mortgage,635,4320,Medium Risk,1,
C202,24,43553,Ostrava,Personal Loan,690,9000,Medium Risk,1,
C203,64,83948,Pilsen,Credit Card,626,6456,Medium Risk,0.9,
C204,21,33589,Prague,Mortgage,552,8862,High Risk,1.1,
C205,63,99449,Brno,Personal Loan,733,4382,Medium Risk,1,
C206,40,58030,Ostrava,Credit Card,719,1922,Medium Risk,0.9,
C207,44,53226,Pilsen,Mortgage,826,3724,Low Risk,0.9,
C208,35,82746,Prague,Personal Loan,580,2284,High Risk,0.9,
C209,26,30845,Brno,Credit Card,792,4080,Low Risk,1.1,
C210,23,46522,Ostrava,Mortgage,685,1934,Medium Risk,1,
C211,44,76225,Pilsen,Personal Loan,691,9331,Medium Risk,1,
C212,39,80008,Prague,Credit Card,589,8842,High Risk,0.9,
C213,22,43905,Brno,Mortgage,819,4656,Low Risk,0.9,
C214,36,86161,Ostrava,Personal Loan,819,3143,Low Risk,0.9,
C215,45,57204,Pilsen,Credit Card,807,8849,Low Risk,1,
C216,46,80913,Prague,Mortgage,548,5980,High Risk,0.9,
C217,45,53689,Brno,Personal Loan,723,8765,Medium Risk,1,
C218,49,65272,Ostrava,Credit Card,754,5342,Low Risk,1,
C219,24,48603,Pilsen,Mortgage,702,8976,Medium Risk,0.9,
C220,66,79082,Prague,Personal Loan,660,7221,Medium Risk,0.9,
C221,27,41864,Brno,Credit Card,528,6563,High Risk,1,
C222,67,118928,Ostrava,Mortgage,724,2046,Medium Risk,1,
C223,24,31307,Pilsen,Personal Loan,600,2026,Medium Risk,0.9,
C224,28,31928,Prague,Credit Card,707,7197,Medium Risk,0.9,
C225,58,108109,Brno,Mortgage,812,1838,Low Risk,1,
C226,21,34595,Ostrava,Personal Loan,547,2073,High Risk,0.9,
C227,52,118095,Pilsen,Credit Card,755,8838,Low Risk,1.1,
C228,61,94641,Prague,Mortgage,513,7538,High Risk,1,
C229,39,89875,Brno,Personal Loan,756,4961,Low Risk,1.1,
C230,23,34268,Ostrava,Credit Card,631,7156,Medium Risk,1,
C231,46,58650,Pilsen,Mortgage,698,3641,Medium Risk,1,
C232,40,69832,Prague,Personal Loan,768,5870,Low Risk,0.9,
C233,41,72968,Brno,Credit Card,571,4612,High Risk,0.9,
C234,61,102339,Ostrava,Mortgage,520,1999,High Risk,1.1,
C235,57,93342,Pilsen,Personal Loan,580,7422,High Risk,0.9,
C236,53,75251,Prague,Credit Card,809,4158,Low Risk,1,
C237,44,54073,Brno,Mortgage,765,4068,Low Risk,0.9,
C238,40,86415,Ostrava,Personal Loan,691,8051,Medium Risk,1,
C239,28,39717,Pilsen,Credit Card,783,8805,Low Risk,1,
C240,37,51572,Prague,Mortgage,695,7456,Medium Risk,0.9,
C241,38,77168,Brno,Personal Loan,808,1183,Low Risk,1,
C242,31,76311,Ostrava,Credit Card,598,8803,High Risk,1,
C243,44,82297,Pilsen,Mortgage,529,9290,High Risk,1,
C244,30,74122,Prague,Personal Loan,592,8570,High Risk,0.9,
C245,33,62980,Brno,Credit Card,809,6768,Low Risk,1,
C246,68,85535,Ostrava,Mortgage,682,7543,Medium Risk,1.1,
C247,35,57019,Pilsen,Personal Loan,711,9854,Medium Risk,0.9,
C248,41,57237,Prague,Credit Card,554,4367,High Risk,1.1,
C249,38,62097,Brno,Mortgage,759,4114,Low Risk,1,
C250,66,114077,Ostrava,Personal Loan,540,3276,High Risk,1,
C251,62,75472,Pilsen,Credit Card,836,6572,Low Risk,0.9,
C252,49,62545,Prague,Mortgage,745,3716,Medium Risk,1.1,
C253,20,30196,Brno,Personal Loan,631,4021,Medium Risk,1.1,
C254,52,78243,Ostrava,Credit Card,792,8886,Low Risk,1.1,
C255,23,43165,Pilsen,Mortgage,687,5712,Medium Risk,1.1,
C256,49,72580,Prague,Personal Loan,515,5914,High Risk,1.1,
C257,28,41986,Brno,Credit Card,731,8555,Medium Risk,0.9,
C258,32,54334,Ostrava,Mortgage,670,9334,Medium Risk,0.9,
C259,24,37556,Pilsen,Personal Loan,693,3033,Medium Risk,1,
C260,43,79909,Prague,Credit Card,787,3397,Low Risk,0.9,
C261,52,103904,Brno,Mortgage,542,5138,High Risk,0.9,
C262,25,44825,Ostrava,Personal Loan,850,7768,Low Risk,0.9,
C263,37,66673,Pilsen,Credit Card,790,9449,Low Risk,1,
C264,31,89435,Prague,Mortgage,825,6561,Low Risk,0.9,
C265,70,111230,Brno,Personal Loan,514,9015,High Risk,1,
C266,44,60852,Ostrava,Credit Card,505,9069,High Risk,0.9,
C267,49,65273,Pilsen,Mortgage,747,4767,Medium Risk,1.1,
C268,43,75221,Prague,Personal Loan,809,9399,Low Risk,0.9,
C269,32,74631,Brno,Credit Card,835,2021,Low Risk,1,
C270,51,98266,Ostrava,Mortgage,691,8526,Medium Risk,1,
C271,70,118213,Pilsen,Personal Loan,545,9386,High Risk,0.9,
C272,36,71376,Prague,Credit Card,835,3182,Low Risk,0.9,
C273,68,115168,Brno,Mortgage,566,5055,High Risk,0.9,
C274,23,34723,Ostrava,Personal Loan,585,6668,High Risk,0.9,
C275,28,38556,Pilsen,Credit Card,505,7252,High Risk,0.9,
C276,39,82244,Prague,Mortgage,728,6273,Medium Risk,1.1,
C277,20,32894,Brno,Personal Loan,557,2621,High Risk,0.9,
C278,29,45821,Ostrava,Credit Card,541,2114,High Risk,0.9,
C279,27,42808,Pilsen,Mortgage,586,5369,High Risk,1.1,
C280,45,72298,Prague,Personal Loan,830,6285,Low Risk,1.1,
C281,56,81248,Brno,Credit Card,712,7169,Medium Risk,0.9,
C282,61,97945,Ostrava,Mortgage,808,4963,Low Risk,1.1,
C283,70,107267,Pilsen,Personal Loan,585,8756,High Risk,1,
C284,31,89728,Prague,Credit Card,649,5358,Medium Risk,0.9,
C285,20,46979,Brno,Mortgage,651,9104,Medium Risk,0.9,
C286,37,81256,Ostrava,Personal Loan,636,9898,Medium Risk,0.9,
C287,22,47017,Pilsen,Credit Card,522,3485,High Risk,1,
C288,42,80606,Prague,Mortgage,656,5990,Medium Risk,1.1,
C289,24,41263,Brno,Personal Loan,532,8419,High Risk,1,
C290,32,50385,Ostrava,Credit Card,818,4279,Low Risk,0.9,
C291,27,33853,Pilsen,Mortgage,849,2214,Low Risk,1.1,
C292,26,30109,Prague,Personal Loan,527,3762,High Risk,1.1,
C293,55,104691,Brno,Credit Card,607,7718,Medium Risk,1.1,
C294,24,30908,Ostrava,Mortgage,666,4216,Medium Risk,1.1,
C295,66,78460,Pilsen,Personal Loan,579,4559,High Risk,1.1,
C296,23,39076,Prague,Credit Card,547,9297,High Risk,0.9,
C297,28,33296,Brno,Mortgage,573,9031,High Risk,1,
C298,41,64312,Ostrava,Personal Loan,697,4228,Medium Risk,1,
C299,45,81968,Pilsen,Credit Card,608,4781,Medium Risk,1,
C300,66,114666,Prague,Mortgage,781,9746,Low Risk,1,
C301,50,66442,Brno,Personal Loan,650,2822,Medium Risk,1,
C302,46,86197,Ostrava,Credit Card,806,7118,Low Risk,0.9,
C303,38,72414,Pilsen,Mortgage,789,8018,Low Risk,1,
C304,31,70710,Prague,Personal Loan,666,6766,Medium Risk,1,
C305,60,116082,Brno,Credit Card,569,1585,High Risk,0.9,
C306,66,82937,Ostrava,Mortgage,782,6642,Low Risk,1,
C307,34,76948,Pilsen,Personal Loan,592,6994,High Risk,1,
C308,49,65183,Prague,Credit Card,556,9873,High Risk,0.9,
C309,48,54097,Brno,Mortgage,598,6019,High Risk,1.1,
C310,34,66496,Ostrava,Personal Loan,575,1252,High Risk,0.9,
C311,28,43961,Pilsen,Credit Card,602,7813,Medium Risk,1.1,
C312,44,80532,Prague,Mortgage,585,1537,High Risk,0.9,
C313,47,79358,Brno,Personal Loan,511,3922,High Risk,1,
C314,32,72999,Ostrava,Credit Card,700,4804,Medium Risk,1,
C315,23,39624,Pilsen,Mortgage,512,4561,High Risk,0.9,
C316,60,102953,Prague,Personal Loan,606,1329,Medium Risk,0.9,
C317,66,95407,Brno,Credit Card,581,8340,High Risk,1,
C318,21,42035,Ostrava,Mortgage,743,9953,Medium Risk,1,
C319,47,52055,Pilsen,Personal Loan,774,6615,Low Risk,1.1,
C320,31,65575,Prague,Credit Card,620,4422,Medium Risk,1.1,
C321,68,79118,Brno,Mortgage,715,8739,Medium Risk,1,
C322,41,69295,Ostrava,Personal Loan,793,8112,Low Risk,1,
C323,41,57090,Pilsen,Credit Card,536,9970,High Risk,0.9,
C324,26,34526,Prague,Mortgage,515,3008,High Risk,1,
C325,47,82832,Brno,Personal Loan,730,8910,Medium Risk,1.1,
C326,28,33348,Ostrava,Credit Card,767,9786,Low Risk,1.1,
C327,51,107589,Pilsen,Mortgage,518,8502,High Risk,0.9,
C328,46,86972,Prague,Personal Loan,669,9173,Medium Risk,1,
C329,47,56053,Brno,Credit Card,844,4543,Low Risk,1,
C330,40,69466,Ostrava,Mortgage,687,1678,Medium Risk,0.9,
C331,32,76175,Pilsen,Personal Loan,845,4027,Low Risk,0.9,
C332,30,84824,Prague,Credit Card,638,9731,Medium Risk,0.9,
C333,28,46987,Brno,Mortgage,812,3893,Low Risk,0.9,
C334,25,49006,Ostrava,Personal Loan,708,6451,Medium Risk,0.9,
C335,54,103995,Pilsen,Credit Card,573,6219,High Risk,1,
C336,43,67454,Prague,Mortgage,658,4917,Medium Risk,1.1,
C337,54,78739,Brno,Personal Loan,504,8340,High Risk,1.1,
C338,61,102665,Ostrava,Credit Card,538,4934,High Risk,1.1,
C339,34,83015,Pilsen,Mortgage,578,1033,High Risk,1.1,
C340,50,87015,Prague,Personal Loan,808,4022,Low Risk,1.1,
C341,68,108951,Brno,Credit Card,822,5814,Low Risk,1,
C342,54,97700,Ostrava,Mortgage,594,1434,High Risk,0.9,
C343,35,69171,Pilsen,Personal Loan,793,9664,Low Risk,0.9,
C344,20,42386,Prague,Credit Card,598,7800,High Risk,1,
C345,50,78246,Brno,Mortgage,606,5118,Medium Risk,1.1,
C346,70,111411,Ostrava,Personal Loan,669,5297,Medium Risk,0.9,
C347,28,34146,Pilsen,Credit Card,802,8649,Low Risk,1.1,
C348,46,66257,Prague,Mortgage,701,7364,Medium Risk,0.9,
C349,37,54061,Brno,Personal Loan,501,1150,High Risk,0.9,
C350,29,39321,Ostrava,Credit Card,747,7091,Medium Risk,0.9,
C351,31,61383,Pilsen,Mortgage,778,8829,Low Risk,1,
C352,36,69944,Prague,Personal Loan,670,8769,Medium Risk,1.1,
C353,21,36061,Brno,Credit Card,761,8705,Low Risk,1,
C354,28,36535,Ostrava,Mortgage,592,4041,High Risk,1.1,
C355,57,88483,Pilsen,Personal Loan,610,8801,Medium Risk,1.1,
C356,56,116899,Prague,Credit Card,811,5762,Low Risk,1,
C357,61,87421,Brno,Mortgage,616,1335,Medium Risk,1,
C358,59,96975,Ostrava,Personal Loan,672,5235,Medium Risk,0.9,
C359,46,57130,Pilsen,Credit Card,564,1295,High Risk,1,
C360,30,82004,Prague,Mortgage,811,9077,Low Risk,1.1,
C361,44,68630,Brno,Personal Loan,501,2831,High Risk,1,
C362,44,86383,Ostrava,Credit Card,833,7194,Low Risk,1,
C363,65,92799,Pilsen,Mortgage,761,2681,Low Risk,1.1,
C364,44,78235,Prague,Personal Loan,627,4407,Medium Risk,0.9,
C365,34,73729,Brno,Credit Card,550,2607,High Risk,1,
C366,44,85194,Ostrava,Mortgage,683,6982,Medium Risk,1.1,
C367,68,90711,Pilsen,Personal Loan,627,2117,Medium Risk,0.9,
C368,35,80122,Prague,Credit Card,745,2268,Medium Risk,1.1,
C369,31,85849,Brno,Mortgage,560,7758,High Risk,1.1,
C370,55,101752,Ostrava,Personal Loan,519,6134,High Risk,0.9,
C371,65,109449,Pilsen,Credit Card,592,2942,High Risk,1.1,
C372,25,36227,Prague,Mortgage,546,7533,High Risk,1.1,
C373,62,76874,Brno,Personal Loan,836,9937,Low Risk,0.9,
C374,58,109506,Ostrava,Credit Card,536,3317,High Risk,0.9,
C375,53,112604,Pilsen,Mortgage,630,2690,Medium Risk,0.9,
C376,62,78109,Prague,Personal Loan,740,4068,Medium Risk,0.9,
C377,47,50146,Brno,Credit Card,758,1756,Low Risk,1.1,
C378,58,85830,Ostrava,Mortgage,541,2578,High Risk,1,
C379,49,50052,Pilsen,Personal Loan,802,2730,Low Risk,1.1,
C380,23,33796,Prague,Credit Card,617,5173,Medium Risk,0.9,
C381,38,60214,Brno,Mortgage,740,6755,Medium Risk,1.1,
C382,25,47233,Ostrava,Personal Loan,518,8736,High Risk,0.9,
C383,58,81603,Pilsen,Credit Card,827,9977,Low Risk,1,
C384,43,69176,Prague,Mortgage,788,2503,Low Risk,1.1,
C385,62,80959,Brno,Personal Loan,773,8872,Low Risk,1,
C386,35,58071,Ostrava,Credit Card,735,1473,Medium Risk,0.9,
C387,68,89193,Pilsen,Mortgage,610,3809,Medium Risk,1,
C388,59,92257,Prague,Personal Loan,647,8949,Medium Risk,1.1,
C389,22,45508,Brno,Credit Card,667,4996,Medium Risk,0.9,
C390,61,91698,Ostrava,Mortgage,808,2961,Low Risk,1,
C391,58,87764,Pilsen,Personal Loan,527,9920,High Risk,0.9,
C392,55,89561,Prague,Credit Card,535,1652,High Risk,1,
C393,21,32123,Brno,Mortgage,671,7885,Medium Risk,0.9,
C394,64,119639,Ostrava,Personal Loan,849,9564,Low Risk,1.1,
C395,29,41123,Pilsen,Credit Card,731,6916,Medium Risk,0.9,
C396,62,82264,Prague,Mortgage,786,1302,Low Risk,0.9,
C397,56,114791,Brno,Personal Loan,577,3609,High Risk,0.9,
